	fight_phrase			dodge_parry			dodge_parry_ai			shield_use			offensive_magic			curative_magic			magic_resist			magic_resist_link			craft			extracting			break_cast_resist		
RelativeLevel	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain	SuccessChances	PartialSuccessMaxDraw	XpGain
50	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1
49	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1
48	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1
47	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1	95	100	0.1
46	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1
45	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1
44	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1
43	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1	94	100	0.1
42	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1
41	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1
40	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1
39	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1	93	100	0.1
38	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1
37	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1
36	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1
35	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1	92	100	0.1
34	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1
33	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1
32	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1
31	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1	91	100	0.1
30	90	100	0.1	90	100	0.1	90	100	0.1	90	100	0.1	90	100	0.1	90	100	0.1	90	100	0.1	90	100	0.1	90	100	0.1	90	100	0.1	90	100	0.1
29	89	100	0.1	89	100	0.1	89	100	0.1	89	100	0.1	89	100	0.1	89	100	0.1	89	100	0.1	89	100	0.1	89	100	0.1	89	100	0.1	89	100	0.1
28	88	100	0.1	88	100	0.1	88	100	0.1	88	100	0.1	88	100	0.1	88	100	0.1	88	100	0.1	88	100	0.1	88	100	0.1	88	100	0.1	88	100	0.1
27	87	100	0.1	87	100	0.1	87	100	0.1	87	100	0.1	87	100	0.1	87	100	0.1	87	100	0.1	87	100	0.1	87	100	0.1	87	100	0.1	87	100	0.1
26	86	100	0.1	86	100	0.1	86	100	0.1	86	100	0.1	86	100	0.1	86	100	0.1	86	100	0.1	86	100	0.1	86	100	0.1	86	100	0.1	86	100	0.1
25	85	100	0.1	85	100	0.1	85	100	0.1	85	100	0.1	85	100	0.1	85	100	0.1	85	100	0.1	85	100	0.1	85	100	0.1	85	100	0.1	85	100	0.1
24	84	100	0.1	84	100	0.1	84	100	0.1	84	100	0.1	84	100	0.1	84	100	0.1	84	100	0.1	84	100	0.1	84	100	0.1	84	100	0.1	84	100	0.1
23	83	100	0.1	83	100	0.1	83	100	0.1	83	100	0.1	83	100	0.1	83	100	0.1	83	100	0.1	83	100	0.1	83	100	0.1	83	100	0.1	83	100	0.1
22	82	100	0.1	82	100	0.1	82	100	0.1	82	100	0.1	82	100	0.1	82	100	0.1	82	100	0.1	82	100	0.1	82	100	0.1	82	100	0.1	82	100	0.1
21	81	100	0.1	81	100	0.1	81	100	0.1	81	100	0.1	81	100	0.1	81	100	0.1	81	100	0.1	81	100	0.1	81	100	0.1	81	100	0.1	81	100	0.1
20	80	100	0.1	80	100	0.1	80	100	0.1	80	100	0.1	80	100	0.1	80	100	0.1	80	100	0.1	80	100	0.1	80	100	0.1	80	100	0.1	80	100	0.1
19	79	99	0.1	79	99	0.1	79	99	0.1	79	99	0.1	79	99	0.1	79	99	0.1	79	99	0.1	79	99	0.1	79	99	0.1	79	99	0.1	79	99	0.1
18	78	98	0.1	78	98	0.1	78	98	0.1	78	98	0.1	78	98	0.1	78	98	0.1	78	98	0.1	78	98	0.1	78	98	0.1	78	98	0.1	78	98	0.1
17	77	97	0.15	77	97	0.15	77	97	0.15	77	97	0.15	77	97	0.15	77	97	0.15	77	97	0.15	77	97	0.15	77	97	0.15	77	97	0.15	77	97	0.15
16	76	96	0.2	76	96	0.2	76	96	0.2	76	96	0.2	76	96	0.2	76	96	0.2	76	96	0.2	76	96	0.2	76	96	0.2	76	96	0.2	76	96	0.2
15	75	95	0.25	75	95	0.25	75	95	0.25	75	95	0.25	75	95	0.25	75	95	0.25	75	95	0.25	75	95	0.25	75	95	0.25	75	95	0.25	75	95	0.25
14	74	94	0.3	74	94	0.3	74	94	0.3	74	94	0.3	74	94	0.3	74	94	0.3	74	94	0.3	74	94	0.3	74	94	0.3	74	94	0.3	74	94	0.3
13	73	93	0.35	73	93	0.35	73	93	0.35	73	93	0.35	73	93	0.35	73	93	0.35	73	93	0.35	73	93	0.35	73	93	0.35	73	93	0.35	73	93	0.35
12	72	92	0.4	72	92	0.4	72	92	0.4	72	92	0.4	72	92	0.4	72	92	0.4	72	92	0.4	72	92	0.4	72	92	0.4	72	92	0.4	72	92	0.4
11	71	91	0.45	71	91	0.45	71	91	0.45	71	91	0.45	71	91	0.45	71	91	0.45	71	91	0.45	71	91	0.45	71	91	0.45	71	91	0.45	71	91	0.45
10	70	90	0.5	70	90	0.5	70	90	0.5	70	90	0.5	70	90	0.5	70	90	0.5	70	90	0.5	70	90	0.5	70	90	0.5	70	90	0.5	70	90	0.5
9	68	89	0.55	68	89	0.55	68	89	0.55	68	89	0.55	68	89	0.55	68	89	0.55	68	89	0.55	68	89	0.55	68	89	0.55	68	89	0.55	68	89	0.55
8	68	88	0.6	68	88	0.6	68	88	0.6	68	88	0.6	68	88	0.6	68	88	0.6	68	88	0.6	68	88	0.6	68	88	0.6	68	88	0.6	68	88	0.6
7	67	87	0.65	67	87	0.65	67	87	0.65	67	87	0.65	67	87	0.65	67	87	0.65	67	87	0.65	67	87	0.65	67	87	0.65	67	87	0.65	67	87	0.65
6	66	86	0.7	66	86	0.7	66	86	0.7	66	86	0.7	66	86	0.7	66	86	0.7	66	86	0.7	66	86	0.7	66	86	0.7	66	86	0.7	66	86	0.7
5	65	85	0.75	65	85	0.75	65	85	0.75	65	85	0.75	65	85	0.75	65	85	0.75	65	85	0.75	65	85	0.75	65	85	0.75	65	85	0.75	65	85	0.75
4	64	84	0.8	64	84	0.8	64	84	0.8	64	84	0.8	64	84	0.8	64	84	0.8	64	84	0.8	64	84	0.8	64	84	0.8	64	84	0.8	64	84	0.8
3	63	83	0.85	63	83	0.85	63	83	0.85	63	83	0.85	63	83	0.85	63	83	0.85	63	83	0.85	63	83	0.85	63	83	0.85	63	83	0.85	63	83	0.85
2	62	82	0.9	62	82	0.9	62	82	0.9	62	82	0.9	62	82	0.9	62	82	0.9	62	82	0.9	62	82	0.9	62	82	0.9	62	82	0.9	62	82	0.9
1	61	81	0.95	61	81	0.95	61	81	0.95	61	81	0.95	61	81	0.95	61	81	0.95	61	81	0.95	61	81	0.95	61	81	0.95	61	81	0.95	61	81	0.95
0	60	80	1	60	80	1	60	80	1	60	80	1	60	80	1	60	80	1	60	80	1	60	80	1	60	80	1	60	80	1	60	80	1
-1	59	79	1.1	59	79	1.1	59	79	1.1	59	79	1.1	59	79	1.1	59	79	1.1	59	79	1.1	59	79	1.1	59	79	1.1	59	79	1.1	59	79	1.1
-2	58	78	1.2	58	78	1.2	58	78	1.2	58	78	1.2	58	78	1.2	58	78	1.2	58	78	1.2	58	78	1.2	58	78	1.2	58	78	1.2	58	78	1.2
-3	57	77	1.3	57	77	1.3	57	77	1.3	57	77	1.3	57	77	1.3	57	77	1.3	57	77	1.3	57	77	1.3	57	77	1.3	57	77	1.3	57	77	1.3
-4	56	76	1.4	56	76	1.4	56	76	1.4	56	76	1.4	56	76	1.4	56	76	1.4	56	76	1.4	56	76	1.4	56	76	1.4	56	76	1.4	56	76	1.4
-5	55	75	1.5	55	75	1.5	55	75	1.5	55	75	1.5	55	75	1.5	55	75	1.5	55	75	1.5	55	75	1.5	55	75	1.5	55	75	1.5	55	75	1.5
-6	54	74	1.6	54	74	1.6	54	74	1.6	54	74	1.6	54	74	1.6	54	74	1.6	54	74	1.6	54	74	1.6	54	74	1.6	54	74	1.6	54	74	1.6
-7	53	73	1.7	53	73	1.7	53	73	1.7	53	73	1.7	53	73	1.7	53	73	1.7	53	73	1.7	53	73	1.7	53	73	1.7	53	73	1.7	53	73	1.7
-8	52	72	1.8	52	72	1.8	52	72	1.8	52	72	1.8	52	72	1.8	52	72	1.8	52	72	1.8	52	72	1.8	52	72	1.8	52	72	1.8	52	72	1.8
-9	51	71	1.9	51	71	1.9	51	71	1.9	51	71	1.9	51	71	1.9	51	71	1.9	51	71	1.9	51	71	1.9	51	71	1.9	51	71	1.9	51	71	1.9
-10	50	70	2	50	70	2	50	70	2	50	70	2	50	70	2	50	70	2	50	70	2	50	70	2	50	70	2	50	70	2	50	70	2
-11	48	68	1.95	48	68	1.95	48	68	1.95	48	68	1.95	48	68	1.95	48	68	1.95	48	68	1.95	48	68	1.95	48	68	1.95	48	68	1.95	48	68	1.95
-12	46	66	1.9	46	66	1.9	46	66	1.9	46	66	1.9	46	66	1.9	46	66	1.9	46	66	1.9	46	66	1.9	46	66	1.9	46	66	1.9	46	66	1.9
-13	44	64	1.85	44	64	1.85	44	64	1.85	44	64	1.85	44	64	1.85	44	64	1.85	44	64	1.85	44	64	1.85	44	64	1.85	44	64	1.85	44	64	1.85
-14	42	62	1.8	42	62	1.8	42	62	1.8	42	62	1.8	42	62	1.8	42	62	1.8	42	62	1.8	42	62	1.8	42	62	1.8	42	62	1.8	42	62	1.8
-15	40	60	1.75	40	60	1.75	40	60	1.75	40	60	1.75	40	60	1.75	40	60	1.75	40	60	1.75	40	60	1.75	40	60	1.75	40	60	1.75	40	60	1.75
-16	38	58	1.7	38	58	1.7	38	58	1.7	38	58	1.7	38	58	1.7	38	58	1.7	38	58	1.7	38	58	1.7	38	58	1.7	38	58	1.7	38	58	1.7
-17	36	56	1.65	36	56	1.65	36	56	1.65	36	56	1.65	36	56	1.65	36	56	1.65	36	56	1.65	36	56	1.65	36	56	1.65	36	56	1.65	36	56	1.65
-18	34	54	1.6	34	54	1.6	34	54	1.6	34	54	1.6	34	54	1.6	34	54	1.6	34	54	1.6	34	54	1.6	34	54	1.6	34	54	1.6	34	54	1.6
-19	32	52	1.55	32	52	1.55	32	52	1.55	32	52	1.55	32	52	1.55	32	52	1.55	32	52	1.55	32	52	1.55	32	52	1.55	32	52	1.55	32	52	1.55
-20	30	50	1.5	30	50	1.5	30	50	1.5	30	50	1.5	30	50	1.5	30	50	1.5	30	50	1.5	30	50	1.5	30	50	1.5	30	50	1.5	30	50	1.5
-21	28	48	1.45	28	48	1.45	28	48	1.45	28	48	1.45	28	48	1.45	28	48	1.45	28	48	1.45	28	48	1.45	28	48	1.45	28	48	1.45	28	48	1.45
-22	26	46	1.4	26	46	1.4	26	46	1.4	26	46	1.4	26	46	1.4	26	46	1.4	26	46	1.4	26	46	1.4	26	46	1.4	26	46	1.4	26	46	1.4
-23	24	44	1.35	24	44	1.35	24	44	1.35	24	44	1.35	24	44	1.35	24	44	1.35	24	44	1.35	24	44	1.35	24	44	1.35	24	44	1.35	24	44	1.35
-24	22	42	1.3	22	42	1.3	22	42	1.3	22	42	1.3	22	42	1.3	22	42	1.3	22	42	1.3	22	42	1.3	22	42	1.3	22	42	1.3	22	42	1.3
-25	20	40	1.25	20	40	1.25	20	40	1.25	20	40	1.25	20	40	1.25	20	40	1.25	20	40	1.25	20	40	1.25	20	40	1.25	20	40	1.25	20	40	1.25
-26	18	38	1.2	18	38	1.2	18	38	1.2	18	38	1.2	18	38	1.2	18	38	1.2	18	38	1.2	18	38	1.2	18	38	1.2	18	38	1.2	18	38	1.2
-27	16	36	1.15	16	36	1.15	16	36	1.15	16	36	1.15	16	36	1.15	16	36	1.15	16	36	1.15	16	36	1.15	16	36	1.15	16	36	1.15	16	36	1.15
-28	14	34	1.1	14	34	1.1	14	34	1.1	14	34	1.1	14	34	1.1	14	34	1.1	14	34	1.1	14	34	1.1	14	34	1.1	14	34	1.1	14	34	1.1
-29	12	32	1.05	12	32	1.05	12	32	1.05	12	32	1.05	12	32	1.05	12	32	1.05	12	32	1.05	12	32	1.05	12	32	1.05	12	32	1.05	12	32	1.05
-30	10	30	1	10	30	1	10	30	1	10	30	1	10	30	1	10	30	1	10	30	1	10	30	1	10	30	1	10	30	1	10	30	1
-31	9	29	0.95	9	29	0.95	9	29	0.95	9	29	0.95	9	29	0.95	9	29	0.95	9	29	0.95	9	29	0.95	9	29	0.95	9	29	0.95	9	29	0.95
-32	8	28	0.9	8	28	0.9	8	28	0.9	8	28	0.9	8	28	0.9	8	28	0.9	8	28	0.9	8	28	0.9	8	28	0.9	8	28	0.9	8	28	0.9
-33	7	27	0.85	7	27	0.85	7	27	0.85	7	27	0.85	7	27	0.85	7	27	0.85	7	27	0.85	7	27	0.85	7	27	0.85	7	27	0.85	7	27	0.85
-34	6	26	0.8	6	26	0.8	6	26	0.8	6	26	0.8	6	26	0.8	6	26	0.8	6	26	0.8	6	26	0.8	6	26	0.8	6	26	0.8	6	26	0.8
-35	5	25	0.75	5	25	0.75	5	25	0.75	5	25	0.75	5	25	0.75	5	25	0.75	5	25	0.75	5	25	0.75	5	25	0.75	5	25	0.75	5	25	0.75
-36	5	24	0.75	5	24	0.75	5	24	0.75	5	24	0.75	5	24	0.75	5	24	0.75	5	24	0.75	5	24	0.75	5	24	0.75	5	24	0.75	5	24	0.75
-37	5	23	0.75	5	23	0.75	5	23	0.75	5	23	0.75	5	23	0.75	5	23	0.75	5	23	0.75	5	23	0.75	5	23	0.75	5	23	0.75	5	23	0.75
-38	5	22	0.75	5	22	0.75	5	22	0.75	5	22	0.75	5	22	0.75	5	22	0.75	5	22	0.75	5	22	0.75	5	22	0.75	5	22	0.75	5	22	0.75
-39	5	21	0.75	5	21	0.75	5	21	0.75	5	21	0.75	5	21	0.75	5	21	0.75	5	21	0.75	5	21	0.75	5	21	0.75	5	21	0.75	5	21	0.75
-40	5	20	0.75	5	20	0.75	5	20	0.75	5	20	0.75	5	20	0.75	5	20	0.75	5	20	0.75	5	20	0.75	5	20	0.75	5	20	0.75	5	20	0.75
-41	5	19	0.75	5	19	0.75	5	19	0.75	5	19	0.75	5	19	0.75	5	19	0.75	5	19	0.75	5	19	0.75	5	19	0.75	5	19	0.75	5	19	0.75
-42	5	18	0.75	5	18	0.75	5	18	0.75	5	18	0.75	5	18	0.75	5	18	0.75	5	18	0.75	5	18	0.75	5	18	0.75	5	18	0.75	5	18	0.75
-43	5	17	0.75	5	17	0.75	5	17	0.75	5	17	0.75	5	17	0.75	5	17	0.75	5	17	0.75	5	17	0.75	5	17	0.75	5	17	0.75	5	17	0.75
-44	5	16	0.75	5	16	0.75	5	16	0.75	5	16	0.75	5	16	0.75	5	16	0.75	5	16	0.75	5	16	0.75	5	16	0.75	5	16	0.75	5	16	0.75
-45	5	15	0.75	5	15	0.75	5	15	0.75	5	15	0.75	5	15	0.75	5	15	0.75	5	15	0.75	5	15	0.75	5	15	0.75	5	15	0.75	5	15	0.75
-46	5	14	0.75	5	14	0.75	5	14	0.75	5	14	0.75	5	14	0.75	5	14	0.75	5	14	0.75	5	14	0.75	5	14	0.75	5	14	0.75	5	14	0.75
-47	5	13	0.75	5	13	0.75	5	13	0.75	5	13	0.75	5	13	0.75	5	13	0.75	5	13	0.75	5	13	0.75	5	13	0.75	5	13	0.75	5	13	0.75
-48	5	12	0.75	5	12	0.75	5	12	0.75	5	12	0.75	5	12	0.75	5	12	0.75	5	12	0.75	5	12	0.75	5	12	0.75	5	12	0.75	5	12	0.75
-49	5	11	0.75	5	11	0.75	5	11	0.75	5	11	0.75	5	11	0.75	5	11	0.75	5	11	0.75	5	11	0.75	5	11	0.75	5	11	0.75	5	11	0.75
-50	5	10	0.75	5	10	0.75	5	10	0.75	5	10	0.75	5	10	0.75	5	10	0.75	5	10	0.75	5	10	0.75	5	10	0.75	5	10	0.75	5	10	0.75
	Min Partial Success Factor	Max Success Factor	Max Success Factor	Min Partial Success Factor	Max Success Factor	Max Success Factor	Min Partial Success Factor	Max Success Factor	Max Success Factor	Min Partial Success Factor	Max Success Factor	Max Success Factor	Min Partial Success Factor	Max Success Factor	Max Success Factor	Min Partial Success Factor	Max Success Factor	Max Success Factor	Min Partial Success Factor	Max Success Factor	Max Success Factor	Min Partial Success Factor	Max Success Factor	Max Success Factor	Min Partial Success Factor	Max Success Factor	Max Success Factor	Min Partial Success Factor	Max Success Factor	Max Success Factor	Min Partial Success Factor	Max Success Factor	Max Success Factor
	0.1	0.5	1	0.1	0.5	1	0.1	0.5	1	0.1	0.5	1	0.1	0.5	1	0.1	0.5	1	0.1	0.5	1	0.1	0.5	1	0.1	0.5	1	0.1	0.5	1	0.1	0.5	1
